Bild                ;Params       ;Auftrag   ;Wer?      ;Cut[m];Pos[m];Pen[m];Kontur[m];xAbmaЯ[m];yAbmaЯ[m];JOB[min];CUT[min];Kontur[min];Pen[min];Bite[min];Neben[min];akt.Zeit ;Start    ;Ende     ;akt.Datum;Start    ;Ende     ;V[m/min];Vmax[m/min];Vmin[m/min];EckenGr[°];P Vmax[m/min];Grad_tol[°];Umwid Vnotch;Gr Trenn;Tool;minSchleif;maxSchleif;Eff.V[m/s]  ;overcut;#iPts ;#Pts  ;#Segs ;#iSegs;xZoom ;yZoom ;#Sharpen;#Slits;#Stitches;#VNotches;#Drills;#Hdrills;#MatchPts;#Eintiche;#Labels;#Fenster;#Lagen
TEST_v4.GBR         ;test.xpr     ;          ;          ;  1,22;  1,12;  0,00;     1,22;     0,12;     0,19;     1,4;     0,9;        0,9;     0,0;      0,0;         0;06:40:04 ;06:38:40 ;06:40:03 ;06.06.23 ;06.06.23 ;06.06.23 ;      25;         25;         25;      30,0;         25,0;       0,10;5           ;yes     ;1   ;       650;      9999;        0,06;    2,2;     1;   340;     2;     0;  1,00; -1,00;       1;     4;        0;        4;      1;       1;        0;       33;      0;       1;     1
FLEECE MAGNET_V1.GBR;MAGNET.XPR   ;          ;          ; 43,07; 19,59;  0,00;    43,07;     0,60;     0,63;    40,7;    36,7;       36,7;     0,0;      0,0;         4;07:34:34 ;06:53:51 ;07:34:33 ;06.06.23 ;06.06.23 ;06.06.23 ;      13;         13;         13;      30,0;         13,0;       0,10;5           ;yes     ;1   ;       150;      9999;        0,07;    2,2;     0;  3487;     1;     0;  1,00; -1,00;      94;     0;        0;        0;      0;       0;        0;     1743;      0;       1;     1
FLEECE MAGNET_V1.GBR;MAGNET.XPR   ;          ;          ; 43,07; 19,59;  0,00;    43,07;     0,60;     0,630;    38,7;    36,5;       36,5;     0,0;      0,0;         2;08:44:37 ;08:05:55 ;08:44:37 ;06.06.23 ;06.06.23 ;06.06.23 ;      13;         13;         13;      30,0;         13,0;       0,10;5           ;yes     ;1   ;       150;      9999;        0,08;    2,2;     0;  3487;     1;     0;  1,00; -1,00;      93;     0;        0;        0;      0;       0;        0;     1716;      0;       1;     1
FLEECE MAGNET_V1.GBR;MAGNET.XPR   ;          ;          ; 43,07; 19,59;  0,00;    43,07;     0,60;     0,63;    54,4;    36,7;       36,7;     0,0;      0,0;        18;09:41:25 ;08:46:58 ;09:41:24 ;06.06.23 ;06.06.23 ;06.06.23 ;      13;         13;         13;      30,0;         13,0;       0,10;5           ;yes     ;1   ;       150;      9999;        0,05;    2,2;     0;  3487;     1;     0;  1,00; -1,00;      92;     0;        0;        0;      0;       0;        0;     1764;      0;       1;     1
FLEECE MAGNET_V1.GBR;MAGNET.XPR   ;          ;          ; 43,07; 19,590;  0,00;    43,07;     0,60;     0,63;    39,1;    36,6;       36,6;     0,0;      0,0;         2;10:22:26 ;09:43:20 ;10:22:25 ;06.06.23 ;06.06.23 ;06.06.23 ;      13;         13;         13;      30,0;         13,0;       0,10;5           ;yes     ;1   ;       150;      9999;        0,08;    2,2;     0;  3487;     1;     0;  1,00; -1,00;      93;     0;        0;        0;      0;       0;        0;     1714;      0;       1;     1
FLEECE MAGNET_V1.GBR;MAGNET.XPR   ;          ;          ; 43,07; 19,59;  0,00;    43,07;     0,60;     0,63;    71,1;    37,0;       37,0;     0,0;      0,0;        34;11:40:14 ;10:29:10 ;11:40:14 ;06.06.23 ;06.06.23 ;06.06.23 ;      13;         13;         13;      30,0;         13,0;       0,10;5           ;yes     ;1   ;       150;      9999;        0,07;    2,2;     0;  3487;     1;     0;  1,00; -1,00;      94;     0;        0;        0;      0;       0;        0;     1738;      0;       1;     1
FLEECE MAGNET_V1.GBR;MAGNET.XPR   ;          ;          ; 43,07; 19,59;  0,001;    43,07;     0,60;     0,63;    39,1;    37,0;       37,0;     0,0;      0,0;         2;12:40:17 ;12:01:07 ;12:40:16 ;06.06.23 ;06.06.23 ;06.06.23 ;      13;         13;         13;      30,0;         13,0;       0,10;5           ;yes     ;1   ;       150;      9999;        0,07;    2,2;     0;  3487;     1;     0;  1,00; -1,00;      89;     0;        0;        0;      0;       0;        0;     1711;      0;       1;     1
                    ;             ;          ;          ;259,65;118,6;  0,00;   259;     3,72;     3,97;   284,6;   221,4;      221,4;     0,0;      0,0;        63;12:40:17 ;06:23:48 ;12:40:16 ;06.06.23 ;06.06.23 ;06.06.23 ;      13;         25;         13;          ;             ;           ;            ;        ;    ;          ;          ;            ;       ;     1; 21262;     8;     0;      ;      ;     556;     4;        0;        4;      1;       1;        0;    10419;      0;        ;      

33
